Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Signal-anchor	4	18.181818181818183	0.010618235535230702	9435, 92370, 84750, 482	22	455	20581	8.224175824175823	0.644942699379905	1.0	1.0
GOTERM_BP_DIRECT	GO:0030007~cellular potassium ion homeostasis	2	9.090909090909092	0.014203886862870552	3778, 482	21	12	16792	133.26984126984127	0.8550364897890121	1.0	1.0
GOTERM_BP_DIRECT	GO:0006970~response to osmotic stress	2	9.090909090909092	0.021233751409806934	1831, 3778	21	18	16792	88.84656084656085	0.9448350841481213	1.0	1.0
UP_SEQ_FEATURE	splice variant	13	59.09090909090909	0.02672379874332258	9435, 25960, 92370, 2273, 84937, 9098, 29893, 1831, 27152, 60385, 84750, 3778, 11326	20	7760	20063	1.680534793814433	0.8915172884093386	1.0	1.0
GOTERM_CC_DIRECT	GO:0000139~Golgi membrane	4	18.181818181818183	0.029224941783175234	9435, 84342, 92370, 84750	22	591	18224	5.60652207352715	0.7122723462224878	1.0	1.0
GOTERM_BP_DIRECT	GO:0009790~embryo development	2	9.090909090909092	0.044324271083796926	10361, 84750	21	38	16792	42.08521303258145	0.9978025190277713	1.0	1.0
INTERPRO	IPR000340:Dual specificity phosphatase, catalytic domain	2	9.090909090909092	0.04535550105440483	1844, 7803	21	43	18559	41.10520487264673	0.9662369069907797	1.0	1.0
GOTERM_MF_DIRECT	GO:0016791~phosphatase activity	2	9.090909090909092	0.04636430022502955	92370, 7803	21	40	16881	40.19285714285714	0.8873853134098133	1.0	1.0
UP_KEYWORDS	Golgi apparatus	4	18.181818181818183	0.047948316929936494	9435, 84342, 92370, 84750	22	812	20581	4.608374384236454	0.991487229254269	1.0	1.0
KEGG_PATHWAY	hsa04911:Insulin secretion	2	9.090909090909092	0.048527607447158325	3778, 482	5	85	6879	32.371764705882356	0.7116600702180332	0.4416846321392304	0.4416846321392304
UP_SEQ_FEATURE	mutagenesis site	6	27.27272727272727	0.04876123266351168	9435, 4953, 84937, 9098, 3778, 7803	20	2191	20063	2.747101780009128	0.9834139717878374	1.0	1.0
KEGG_PATHWAY	hsa04970:Salivary secretion	2	9.090909090909092	0.049087791369392356	3778, 482	5	86	6879	31.995348837209303	0.7158742585745337	0.4416846321392304	0.4416846321392304
KEGG_PATHWAY	hsa04972:Pancreatic secretion	2	9.090909090909092	0.053002155856707645	3778, 482	5	93	6879	29.58709677419355	0.7437140735976389	0.4416846321392304	0.4416846321392304
SMART	SM00404:PTPc_motif	2	9.090909090909092	0.055007744369135844	1844, 7803	10	63	10057	31.926984126984127	0.658699645983222	1.0	1.0
UP_SEQ_FEATURE	domain:Tyrosine-protein phosphatase	2	9.090909090909092	0.05803089125516087	1844, 7803	20	63	20063	31.84603174603175	0.9925697030377879	1.0	1.0
INTERPRO	IPR003595:Protein-tyrosine phosphatase, catalytic	2	9.090909090909092	0.0657787434224818	1844, 7803	21	63	18559	28.055933484504912	0.9930364393651362	1.0	1.0
UP_KEYWORDS	Developmental protein	4	18.181818181818183	0.07005658477911464	27152, 10361, 2273, 7803	22	949	20581	3.9430979978925187	0.9991284691002745	1.0	1.0
UP_SEQ_FEATURE	active site:Phosphocysteine intermediate	2	9.090909090909092	0.0784103517723536	1844, 7803	20	86	20063	23.32906976744186	0.9987638185946439	1.0	1.0
INTERPRO	IPR000387:Protein-tyrosine/Dual specificity phosphatase	2	9.090909090909092	0.08479581942452594	1844, 7803	21	82	18559	21.555168408826948	0.9984482789379427	1.0	1.0
UP_KEYWORDS	Endosome	3	13.636363636363635	0.08549711150290609	84937, 9098, 7803	22	481	20581	5.834719334719335	0.9998282277870996	1.0	1.0
KEGG_PATHWAY	hsa04022:cGMP-PKG signaling pathway	2	9.090909090909092	0.08877539992187655	3778, 482	5	158	6879	17.415189873417724	0.902133086037035	0.5548462495117285	0.5548462495117285
GOTERM_BP_DIRECT	GO:0006813~potassium ion transport	2	9.090909090909092	0.09331516173239449	3778, 482	21	82	16792	19.502903600464574	0.9999981944575009	1.0	1.0
UP_KEYWORDS	Membrane	12	54.54545454545454	0.0993540921976912	9435, 84342, 92370, 25960, 100526664, 84750, 84937, 9098, 3778, 7803, 482, 11326	22	7494	20581	1.497998398718975	0.9999609387831477	1.0	1.0
